text,DRINKS#PRICES,DRINKS#STYLE&OPTIONS,RESTAURANT#PRICES,FOOD#QUALITY,RESTAURANT#GENERAL,SERVICE#GENERAL,DRINKS#QUALITY,AMBIENCE#GENERAL,FOOD#STYLE&OPTIONS,RESTAURANT#MISCELLANEOUS,FOOD#PRICES,LOCATION#GENERAL,number_of_text
giá 53k size vừa .,2,2,0,0,0,0,0,0,0,0,0,0,4
nhưng nói chung cũng hơi đắt .,0,0,1,0,0,0,0,0,0,0,0,0,6
mình ăn rất hôi mùi dầu .,0,0,0,1,0,0,0,0,0,0,0,0,6
mình ăn chưa baoh thấy mùi hôi hải sản .,0,0,0,3,0,0,0,0,0,0,0,0,9
3 dĩa vs 2 lon revive mà có 190k thui .,0,0,3,0,0,0,0,0,0,0,0,0,10
ở đây ngay khu vắng nên khách cũng không đông mấy .,0,0,0,0,2,0,0,0,0,0,0,0,11
"quán đông lắm , gọi món phải đợi hơi lâu , ko biết phải tại mình đi trễ ko , nhưng mà nghe nói ở đây giờ nào cũng đông cũng phải ngồi đợi một lúc hết .",0,0,0,0,3,1,0,0,0,0,0,0,34
"mình uống trà sữa lài hạnh nhân khá thơm nha , vị hạnh nhân không đậm mấy nhưng mùi lài khá thơm , đậm vị trà hơi đắng nhẹ , độ ngọt vừa phải .",0,2,0,0,0,0,3,0,0,0,0,0,31
"không gian trang trí đơn giàn mà ấm cúng , nên mình cực thích .",0,0,0,0,0,0,0,3,0,0,0,0,13
chè lạnh thì hình như lúc nào cũng là sương sa sương sáo hột lựu .,0,0,0,0,0,0,0,0,2,0,0,0,15
bánh bé xíu xiu deco siêu đẹp ko nỡ ăn luôn mặt có hơi nước từ mũi .,0,0,0,0,0,0,0,0,3,0,0,0,12
"nhân viên phục vụ chu đáo , nhẹ nhàng .",0,0,0,0,0,3,0,0,0,0,0,0,8
đồ ăn rất tươi và nêm nếm rất rất rất vừa khẩu vị của mình .,0,0,0,3,0,0,0,0,0,0,0,0,15
mình đã ăn được 3 4 lần rồi và sẽ còn ghé lại ăn tiếp mặt cười không vui .,0,0,0,0,3,0,0,0,0,0,0,0,15
"mới đi chi nhánh hàm nghi thôi thì thấy ở đây setup các thứ theo phong cách cổ xưa , bàn ghế , nền nhà cũng như các item đều mang hơi hướng hoài niệm mặt cười không vui .",0,0,0,0,0,0,0,3,0,0,0,0,34
chỗ để xe hơi chật nhưng trên phố nên cũng không thể rộng hơn được mặt cười đầy mồ hôi .,0,0,0,0,0,0,0,0,0,2,0,0,16
tuy giá hơi cao xíu nhưng chất lượng thì xứng đáng vô cùng .,0,0,1,0,3,0,0,0,0,0,0,0,13
nhìn chung hôm đó mình cũng hài lòng rồi .,0,0,0,0,3,0,0,0,0,0,0,0,9
nhưng với giá 10k thì không thể đòi hỏi được gì rồi khuôn mặt u ám với mồ hôi .,0,0,2,0,0,0,0,0,0,0,0,0,13
nồi lầu riêu cua chỉ có 1 đĩa rau và chưa có đồ nhúng đã là 169k rồi .,0,0,0,0,0,0,0,0,0,0,1,0,18
giá từ 30 35 40k .,0,0,2,0,0,0,0,0,0,0,0,0,3
hình như hôm ấy mình gọi cơm được tặng thêm khoai .,0,0,0,0,0,0,0,0,0,3,0,0,11
"nghe giới thiêu quán có thêm các loại topping nên gọi 1 trà đen trân châu trắng , trà có vị hoa hồng hơi nồng , nên sẽ có một số ng ko hợp vị này lắm .",0,3,0,0,0,0,1,0,0,0,0,0,35
"đồ ăn thì ngon , mình nhớ là chủ yếu nhiều món tây , nhưng không lo vì tây hay ta người vn đều ăn được .",0,0,0,3,0,0,0,0,3,0,0,0,24
cùng hệ thống với al fresco s mà chất lượng 2 bên chênh lệch nhau quá lớn như vậy,0,0,0,0,1,0,0,0,0,0,0,0,21
có dịp sẽ tới ủn hộ dài dài,0,0,0,0,3,0,0,0,0,0,0,0,9
", món salad bò nướng đúng ngon luôn , mà có lẽ nên gọi bò salad đúng hơn í vì bò nhiều ơi là nhiều , gia vị có giấm táo chua ngọt dễ ăn cực kỳ .",0,0,0,3,0,0,0,0,3,0,0,0,35
chắc không nhìn thấy mình là bơ luôn khách hàng này .,0,0,0,0,0,1,0,0,0,0,0,0,11
"mấy lần trước thì sốt sền sệt , lần này ko hiểu sao sốt lỏng le , ăn ko thích bằng nhưng được cái vị vẫn ngon .",0,0,0,3,0,0,0,0,1,0,0,0,25
"chủ quán thân thiện , nhiệt tình .",0,0,0,0,0,3,0,0,0,0,0,0,6
à mình còn nhớ lần trước mua ly này 39k thôi mà hôm nay tới 45k lận .,1,0,0,0,0,0,0,0,0,0,0,0,17
"nhìn chung thì đồ ăn của quán khá ổn , mình đã hy vọng nó thật xuất sắc nhưng nhà hàng dừng lại ở mức khá ngon .",0,0,0,3,0,0,0,0,0,0,0,0,26
mìh like món trà sữa uyên ươg ở đây lắm .,0,0,0,0,0,0,3,0,0,0,0,0,10
cửa hàng kế bên the coffee house lê đại hành .,0,0,0,0,0,0,0,0,0,0,0,2,10
phục vụ dễ thương trẻ trung năng động .,0,0,0,0,0,3,0,0,0,0,0,0,7
"phần thăn ngoại hokubee miếng thịt có gân mỡ bên rìa , dai quá cắt woai k đứt .",0,0,0,1,0,0,0,0,0,0,0,0,17
"ai ghiên cà phê thì thôi khỏi nói luôn , uống là thích liền .",0,0,0,0,0,0,3,0,0,0,0,0,13
nước ép dưa hấu cũng rất thơm và ngon .,0,0,0,0,0,0,3,0,0,0,0,0,9
"nhân viên nhanh nhẹn , lịch sự .",0,0,0,0,0,3,0,0,0,0,0,0,6
nhân viên ở đây phục vụ rất nhiệt tình và vui vẻ và dễ thương lắm luôn .,0,0,0,0,0,3,0,0,0,0,0,0,17
"phục vụ các bạn nhân viên thiếu kinh nghiệm đã được thay thế bằng các bạn nhân viên nhiệt tình , khéo léo .",0,0,0,0,0,3,0,0,0,0,0,0,21
giao sớm hơn giờ mình đặt luôn .,0,0,0,0,0,3,0,0,0,0,0,0,7
mình ăn 2 ng hết 700k .,0,0,2,0,0,0,0,0,0,0,0,0,6
gọi thêm phần bò quanh lửa hồng nữa là số dzách .,0,0,0,0,0,0,0,0,3,0,0,0,11
"đồ ăn ngon , khách hơi vắng hơn so với mấy nhà hàng khác ở mỹ tho .",0,0,0,3,2,0,0,0,0,0,0,0,16
"cá ba sa chiên giòn 45k cá mềm , không bị khô nha , cắn ra có hơi bốc khói nhẹ , loại này cũng có sốt riêng chấm luôn .",0,0,0,3,0,0,0,0,0,0,2,0,28
mang tiếng là fast food mà lại bắt khách chờ hơn cả 10p .,0,0,0,0,0,1,0,0,0,0,0,0,13
"nước chấm rất ngon luôn , 1 phần làm nên món lẩu mà mặt cười không vui .",0,0,0,3,0,0,0,0,0,0,0,0,13
mà khách lúc nào cũng đông nên hơi ồn ào .,0,0,0,0,0,0,0,1,0,0,0,0,10
"spicy kale edamame khó ăn lắm , rau vị nồng qtqd , có mấy loại hạt với thịt xé nhỏ trộn chung .",0,0,0,1,0,0,0,0,2,0,0,0,21
giá cả không quá cao so với chất lượng và mấy nơi khác .,0,0,2,0,0,0,0,0,0,0,0,0,13
"cái bạn giả bộ lơ lơ lại tỏ vẻ mặt cực kỳ khó chịu với mình như mình làm gì bạn đấy , cái bạn còn lại thấy vậy chạy tới giúp .",0,0,0,0,0,1,0,0,0,0,0,0,31
nước lèo ngọt thanh ăn rất vừa miệng .,0,0,0,3,0,0,0,0,0,0,0,0,8
rồi món cuối trước khi ăn tráng miệng là cơm chiên với gà quay hay nướng lá é .,0,0,0,0,0,0,0,0,2,0,0,0,18
gà có vị cay kích thích vị giác .,0,0,0,3,0,0,0,0,0,0,0,0,8
"mình đã chọn món chocolate sữa đá , mình thực sự rất thích chocolate .",0,0,0,0,0,0,3,0,0,0,0,0,15
"mới đầu hơi buồn do là thịt bầm chứ k phải thịt lát , tô cũng khá nhỏ .",0,0,0,0,0,0,0,0,1,0,0,0,17
"menu phong phú , đa dạng , giá cả phải chăng .",0,3,3,0,0,0,0,0,3,0,0,0,9
"lasgana cũng bt , k có sốt cà chua nên cảm thấy thiếu vị .",0,0,0,2,0,0,0,0,1,0,0,0,13
hôm nọ có order gongcha trên foody ship về đặt 1 ly olong gongcha trân châu trắng ly lớn 1 ly earl grey trân trâu đen mà không thấy trân châu đâu hơi thất vọng .,0,1,0,0,0,0,0,0,0,0,0,0,36
giá hơi cao tý nhưng rất xứng đáng với chất lượng .,0,0,2,0,0,0,0,0,0,0,0,0,11
uống mát mà cũng ngon .,0,0,0,0,0,0,3,0,0,0,0,0,5
ăn khỏe thi chăc chăn phải gọi thêm rùi nhưng cam thấy xứng đáng mặt cười không vui .,0,0,0,3,0,0,0,0,2,0,0,0,15
"nước theo cảm quan của mình thì có mùi thơm chất nhưng rất lạt , lớp váng sữa không có gì đặc biệt , có thể nói là tệ , cái bingsu gì đó ăn khá ổn , còn toast thì mình thấy khá ok , ăn ngon , không quay lại .",0,0,0,3,0,0,1,0,0,0,0,0,46
"tổng 63.000 đ , mình kêu 50 phần trăm đường , uống lúc đầu ngọt để khoảng lâu mới uống hạp vị .",0,2,2,0,0,0,2,0,0,0,0,0,17
"cookies là bánh xay nên thơm mùi bánh , ngọt vừa phải .",0,0,0,3,0,0,0,0,0,0,0,0,11
"về thức ăn và giá cả mình ăn phần ăn 279k nên được ăn khá nhiều các món , khá đa dạng , món nướng ướp ngon , đậm đà vừa phải .",0,0,0,3,0,0,0,0,3,0,2,0,30
"do mình chụp ảnh hơi lâu nên bánh vỏ ngoài khô , nhưng nhân trong vẫn nhiều và mềm nhé .",0,0,0,3,0,0,0,0,3,0,0,0,19
"nước cốt dừa béo vừa , chè ít ngọt nên ăn ngon lắm nha .",0,0,0,3,0,0,0,0,2,0,0,0,13
"1 phần salad 55k ăn ổn , trộn vị thấm đều , có bánh mì nướng ăn kèm giòn giòn khá thích .",0,0,0,3,0,0,0,0,1,0,2,0,21
mình rất thích chả cá .,0,0,0,3,0,0,0,0,0,0,0,0,5
decor xinh nè .,0,0,0,0,0,0,0,3,0,0,0,0,3
giá hơi cao so với các sushi khác nhưng bù lại chất lượng rất tốt .,0,0,1,0,3,0,0,0,0,0,0,0,16
"không gian ấm cúng thích hợp tụ họp bạn bè , gia đình .",0,0,0,0,0,0,0,3,0,0,0,0,12
"dìn ký thì có thương hiệu lâu rồi , menu đủ món á âu , nhiều loại , dễ lựa chọn , phù hợp với nhiều đối tượng .",0,0,0,0,0,0,0,0,3,0,0,0,24
"nhân viên lịch sự , tử tế .",0,0,0,0,0,3,0,0,0,0,0,0,6
"mì ngon , nhưng khá chua , có lẽ là do kim chi , mình nghĩ nên giảm bớt độ chua lại một chút .",0,0,0,2,0,0,0,0,0,0,0,0,21
